1 27 23 5 36 8 32 40 13 46 39 2 15 10 19 4 47 25 28 11 24 14 43 42 48 29 17 44 31 38 3 35 18 45 12 20 33 7 41 21 26 30 37 6 22 9 16 34 1 128 1
49
1 49
128 128
27 78 140
23 55 108
5 93 90
36 110 130
8 123 56
32 139 135
40 117 87
13 79 109
46 144 54
39 52 57
2 81 62
15 103 85
10 132 76
19 98 53
4 51 118
47 113 141
25 80 86
28 83 131
11 142 65
24 88 134
14 105 75
43 136 64
42 104 89
48 58 68
29 129 96
17 66 60
44 102 114
31 143 70
38 61 111
3 112 97
35 92 84
18 69 63
45 74 122
12 116 59
20 124 115
33 127 67
7 120 107
41 106 137
21 82 138
26 100 121
30 95 101
37 99 125
6 126 119
22 71 94
9 72 73
16 91 133
34 77 50
