ROck ROck little till You play if men I yep aLl coming dumb myself thin gas COuld they But up Live plAy tool bored you AND ROck Know
25
ROck maKe cool MOld
little Judging doNt Your GEt
till satellite gOld HEY YOURE
You GeT need Only dONt
play ground see Fed all
if ice shoW thumb gliTTers
men water meteor break skate
I head GO with rules
yep of about use Well
aLl runningj forehead stAr differ
coming geTS On shape shootinG
dumb Star OnLY this glitters
myself know well staR Hey
thin live To back uSe
gas shine gold re said
COuld wrong now gEts me
they get sense t running
But like told stop wait
up way might For tHat
Live youre noW Didnt sharpest
plAy strEEts her And fRom
tool So OnLy years coNcept
bored the YoULL THat mYself
you brain roll in YouLL
AND bundled getting Didn U
