100
50
location1 location2 location3 location4 location5 location6 location7 location8 location9 location10 location11 location12 location13 location14 location15 location16 location17 location18 location19 location20 location21 location22 location23 location24 location25 location26 location27 location28 location29 location30 location31 location32 location33 location34 location35 location36 location37 location38 location39 location40 location41 location42 location43 location44 location45 location46 location47 location48 location49 location50 location51 location52 location53 location54 location55 location56 location57 location58 location59 location60 location61 location62 location63 location64 location65 location66 location67 location68 location69 location70 location71 location72 location73 location74 location75 location76 location77 location78 location79 location80 location81 location82 location83 location84 location85 location86 location87 location88 location89 location90 location91 location92 location93 location94 location95 location96 location97 location98 location99 location100 
location13 location29 location5 location25 location49 location40 location19 location16 location34 location37 location40 location43 location37 location40 location2 location22 location15 location40 location38 location35 location2 location4 location48 location13 location37 location37 location19 location23 location27 location29 location18 location3 location22 location48 location30 location36 location11 location2 location24 location14 location34 location46 location48 location10 location33 location25 location34 location34 location18 location35 
location1
x x x x x x 1 x 1 x x x 1 x 1 x x x x 1 1 1 1 x x 1 1 1 1 x 1 x x 1 1 1 x 1 x x 1 1 1 1 x x 1 1 x x 1 1 x x x 1 1 x x 1 x x 1 x x x 1 x 1 x 1 x x x 1 x 1 x 1 x 1 1 1 1 x x 1 1 x 1 x x 1 x x x x x 1 x 
x x x 1 1 x x x 1 x x 1 1 1 1 1 x x x 1 x x x x 1 x x 1 1 x 1 1 x 1 1 x x x 1 1 x 1 x 1 x x x x 1 1 1 x 1 x x 1 x x x x x x x x 1 x x x x 1 x x 1 x 1 1 1 1 1 1 1 x 1 1 x x x x x x x 1 x 1 1 1 1 x x x 
x x x 1 x x 1 1 1 1 1 x x x 1 x 1 x x 1 1 x 1 1 x x 1 1 x x 1 x x 1 1 1 1 x x 1 x 1 x 1 x x x 1 1 1 1 1 x 1 x 1 x x x x 1 1 x x 1 x 1 x 1 1 x 1 x 1 1 1 1 1 1 1 x x x 1 1 x x x 1 x 1 x x x 1 x x x 1 1 
x 1 1 x 1 1 1 1 1 1 x x 1 1 x x 1 1 x 1 1 x 1 1 x 1 1 1 1 x 1 x x x x x 1 1 x 1 x 1 1 x 1 x 1 1 1 x x 1 x x 1 1 1 1 1 x 1 1 1 1 1 1 x x x x x 1 1 x x x 1 1 x 1 1 1 x x 1 x 1 x 1 1 1 1 1 x x x x x 1 1 
x 1 x 1 x 1 1 x x x x 1 1 1 1 x 1 x x 1 1 x x x x x 1 1 1 1 x 1 1 x x x x 1 1 1 x 1 1 1 1 1 x x 1 1 x x 1 x x x 1 x x x 1 1 x 1 1 1 1 1 1 1 1 1 x 1 x x x 1 x 1 1 x x 1 x 1 1 x x 1 x x x 1 x 1 1 1 x 1 
x x x 1 1 x x 1 x 1 x 1 x 1 1 1 1 1 x x 1 x x x x 1 1 1 x 1 1 x 1 x 1 1 1 x x x 1 x 1 x 1 1 1 x 1 x x 1 1 1 1 1 x x x 1 x 1 1 x x x x x 1 1 1 x 1 x 1 x x 1 x 1 x x 1 1 x 1 x x x x x 1 1 x 1 x x x 1 x 
1 x 1 1 1 x x x 1 1 1 1 x 1 x x x 1 x 1 x 1 1 1 x x x x x x 1 1 x x 1 x x 1 1 1 1 x 1 x x 1 1 x x 1 x x 1 x x 1 1 1 1 x 1 1 x x 1 x 1 x 1 1 1 1 x x 1 x 1 1 1 1 x 1 1 x x 1 x x 1 1 1 x x x x x x x 1 x 
x x 1 1 x 1 x x x x x 1 x x 1 x 1 x 1 1 1 1 1 x 1 1 1 1 1 1 x x 1 1 1 x 1 1 1 1 x 1 1 1 1 1 1 1 x 1 1 x x x x 1 1 x x 1 1 1 1 1 1 1 x 1 1 x x 1 1 x x x x 1 1 x 1 1 x 1 1 x 1 x 1 1 1 x 1 1 x 1 1 1 x 1 
1 1 1 1 x x 1 x x 1 x x x 1 x x x x 1 1 1 1 1 1 1 x 1 1 1 1 1 1 x x 1 1 x 1 x x 1 1 1 x x x x 1 x 1 1 x x x x 1 x 1 1 x 1 1 x x x 1 1 1 x 1 x 1 1 x 1 x 1 1 1 x 1 x x 1 1 x x x x 1 x 1 1 1 1 1 1 1 x 1 
x x 1 1 x 1 1 x 1 x 1 1 1 x x 1 x x x x x x x x 1 x 1 1 x 1 x x x x x x x 1 x 1 x 1 1 1 1 1 x 1 1 x 1 x x x x x 1 1 x 1 1 x x 1 x 1 1 x 1 1 x x 1 x 1 1 1 1 1 1 1 1 1 x 1 1 x x x 1 1 x 1 1 1 1 x x 1 1 
x x 1 x x x 1 x x 1 x x x x 1 1 x x 1 x x 1 x 1 1 x x x 1 x 1 1 1 1 1 1 x x 1 x x 1 1 x 1 x 1 1 x x x 1 x x 1 x x x 1 1 x x x 1 1 1 1 1 1 x 1 1 1 1 x x 1 1 x x x 1 1 1 x x 1 x x 1 1 1 x x 1 1 1 x x 1 
x 1 x x 1 1 1 1 x 1 x x x 1 1 x x x x x x 1 x 1 1 x x x 1 x 1 x 1 1 x 1 x 1 x x 1 x x 1 x 1 1 x x 1 1 1 x 1 x x 1 x x 1 x 1 x x 1 x x x x x 1 1 1 x 1 x x 1 x 1 1 x 1 1 1 1 x x 1 x x x x 1 x x x x x x 
1 1 x 1 1 x x x x 1 x x x x 1 1 x x 1 1 1 1 1 x 1 1 x 1 x 1 x x 1 x 1 1 1 x x 1 x x 1 1 x x x 1 x x x x x 1 x 1 1 1 1 x 1 1 1 x x 1 x x x 1 1 x x 1 x x x x 1 x 1 x x x x x 1 x 1 x x 1 x 1 x 1 x 1 x 1 
x 1 x 1 1 1 1 x 1 x x 1 x x 1 x 1 x x 1 1 x 1 x x x x 1 1 x x 1 1 1 x x x x x x 1 1 x x x x 1 1 1 1 1 x 1 1 1 x 1 1 x 1 x x x 1 1 1 1 x x 1 x x 1 x x x x 1 1 1 1 1 x x 1 1 x 1 x x 1 x 1 x 1 x 1 1 x 1 
1 1 1 x 1 1 x 1 x x 1 1 1 1 x 1 x x 1 1 x 1 1 1 1 1 1 x 1 1 1 1 1 1 x 1 x 1 1 x 1 x 1 x 1 1 1 1 x 1 1 x 1 x 1 1 x x x 1 x 1 x x 1 1 x 1 x x x 1 x x 1 x 1 x 1 x 1 1 1 1 x 1 x x 1 1 x x x 1 1 1 x x 1 x 
x 1 x x x 1 x x x 1 1 x 1 x 1 x x 1 x x 1 x x x 1 x x 1 x x 1 x x 1 x 1 1 1 x 1 x 1 1 1 1 1 1 x x x x x x x x 1 1 1 x 1 1 x 1 1 1 1 1 1 x x x x x 1 1 1 x x x x x 1 x 1 1 1 x 1 1 1 1 1 1 1 x 1 x 1 x 1 
x x 1 1 1 1 x 1 x x x x x 1 x x x 1 x x 1 x x 1 x x 1 1 1 1 x x x 1 1 1 x x x 1 1 1 x x x x x 1 x 1 x 1 1 1 1 1 1 x 1 1 x x x x 1 x x 1 1 1 x 1 1 x x 1 1 1 1 1 1 x 1 1 1 x x 1 1 1 1 1 x x x x 1 1 1 1 
